"";"NIVEL";"COD";"LOCALIZACAO";"PROD_T";"PROD_T_01";"PROD_T_02";"PROD_T_03";"PROD_T_04";"PROD_T_05";"PROD_T_06";"PROD_T_07";"PROD_AF";"PROD_AF_01";"PROD_AF_02";"PROD_AF_03";"PROD_AF_04";"PROD_AF_05";"PROD_AF_06";"PROD_AF_07";"PROD_MP";"PROD_MP_01";"PROD_MP_02";"PROD_MP_03";"PROD_MP_04";"PROD_MP_05";"PROD_MP_06";"PROD_MP_07";"AREA_T";"AREA_AF";"AREA_MP";"O_NEST_LACO_T";"O_NEST_LACO_AF";"O_NEST_LACO_MP";"O_T";"O_AF";"O_MP";"O_LACO_T";"O_LACO_AF";"O_LACO_MP";"VP_T";"VP_T_AN";"VP_T_VG";"VP_AF";"VP_AF_AN";"VP_AF_VG";"VP_MP";"VP_MP_AN";"VP_MP_VG";"R_NEST_T_TOT";"R_NEST_T_1";"R_NEST_T_101";"R_NEST_T_102";"R_NEST_T_103";"R_NEST_T_2";"R_NEST_T_201";"R_NEST_T_202";"R_NEST_T_203";"R_NEST_T_204";"R_NEST_T_205";"R_NEST_T_3";"R_NEST_T_301";"R_NEST_T_302";"R_NEST_T_303";"R_NEST_T_304";"R_NEST_T_305";"R_NEST_T_306";"R_NEST_T_307";"R_NEST_AF_TOT";"R_NEST_AF_1";"R_NEST_AF_101";"R_NEST_AF_102";"R_NEST_AF_103";"R_NEST_AF_2";"R_NEST_AF_201";"R_NEST_AF_202";"R_NEST_AF_203";"R_NEST_AF_204";"R_NEST_AF_205";"R_NEST_AF_3";"R_NEST_AF_301";"R_NEST_AF_302";"R_NEST_AF_303";"R_NEST_AF_304";"R_NEST_AF_305";"R_NEST_AF_306";"R_NEST_AF_307";"R_NEST_MP_TOT";"R_NEST_MP_1";"R_NEST_MP_101";"R_NEST_MP_102";"R_NEST_MP_103";"R_NEST_MP_2";"R_NEST_MP_201";"R_NEST_MP_202";"R_NEST_MP_203";"R_NEST_MP_204";"R_NEST_MP_205";"R_NEST_MP_3";"R_NEST_MP_301";"R_NEST_MP_302";"R_NEST_MP_303";"R_NEST_MP_304";"R_NEST_MP_305";"R_NEST_MP_306";"R_NEST_MP_307";"R_VALOR_T_TOT";"R_VALOR_T_1";"R_VALOR_T_101";"R_VALOR_T_102";"R_VALOR_T_103";"R_VALOR_T_2";"R_VALOR_T_201";"R_VALOR_T_202";"R_VALOR_T_203";"R_VALOR_T_204";"R_VALOR_T_205";"R_VALOR_T_3";"R_VALOR_T_301";"R_VALOR_T_302";"R_VALOR_T_303";"R_VALOR_T_304";"R_VALOR_T_305";"R_VALOR_T_306";"R_VALOR_T_307";"R_VALOR_AF_TOT";"R_VALOR_AF_1";"R_VALOR_AF_101";"R_VALOR_AF_102";"R_VALOR_AF_103";"R_VALOR_AF_2";"R_VALOR_AF_201";"R_VALOR_AF_202";"R_VALOR_AF_203";"R_VALOR_AF_204";"R_VALOR_AF_205";"R_VALOR_AF_3";"R_VALOR_AF_301";"R_VALOR_AF_302";"R_VALOR_AF_303";"R_VALOR_AF_304";"R_VALOR_AF_305";"R_VALOR_AF_306";"R_VALOR_AF_307";"R_VALOR_MP_TOT";"R_VALOR_MP_1";"R_VALOR_MP_101";"R_VALOR_MP_102";"R_VALOR_MP_103";"R_VALOR_MP_2";"R_VALOR_MP_201";"R_VALOR_MP_202";"R_VALOR_MP_203";"R_VALOR_MP_204";"R_VALOR_MP_205";"R_VALOR_MP_3";"R_VALOR_MP_301";"R_VALOR_MP_302";"R_VALOR_MP_303";"R_VALOR_MP_304";"R_VALOR_MP_305";"R_VALOR_MP_306";"R_VALOR_MP_307";"COD_ESTADO";"COD_REGIAO"
"524";"MI";"51007";"Sinop (MT)";4363;3013;868;296;29;54;61;42;2440;1644;573;117;17;32;35;22;1672;1167;302;121;14;22;26;20;2729166;151572;1066723;4336;2440;1655;16802;7499;5266;10937;6883;3580;3813104;490489;3322615;220666;84702;135964;476841;126675;350166;4225;3797;1882;2623;386;579;217;6;2;29;361;2629;1063;1708;3;1;3;4;152;2367;2199;977;1700;304;377;97;3;1;22;273;1469;861;641;1;0;2;3;95;1610;1344;632;902;91;195;84;3;1;7;113;1155;196;1062;0;1;1;1;57;3917275;3691054;3168307;483144;39603;84923;23070;NA;NA;191;61524;141299;20626;118975;NA;NA;NA;NA;884;291277;212058;128278;79455;4325;48235;6792;NA;NA;169;41233;30984;15621;14564;NA;0;NA;NA;714;555086;466995;339914;124645;2436;36963;9399;NA;NA;22;27444;51128;4067;46771;0;NA;NA;NA;171;"51";"5"
"525";"MI";"51008";"Paranatinga (MT)";2341;1707;409;115;8;15;87;0;1399;963;331;21;5;4;75;0;820;661;78;60;3;7;11;0;2327193;126170;1216613;2321;1399;810;11435;5582;2913;7346;5279;1758;1845974;273007;1572967;45507;32351;13156;175351;83972;91379;1792;1501;420;1195;62;85;60;2;0;1;25;922;505;455;1;1;0;2;26;994;865;183;747;51;40;23;2;0;1;14;522;379;139;1;1;0;2;24;675;514;126;418;11;32;27;0;0;0;8;391;119;313;0;0;0;0;2;1768359;1703317;1435958;266010;1349;13430;7627;NA;0;NA;5745;51611;9085;42422;NA;NA;0;NA;102;50651;39721;10689;27767;1265;1748;1422;NA;0;NA;268;9183;NA;2340;NA;NA;0;NA;NA;187723;167656;86475;81097;84;3184;2718;0;0;0;466;16883;NA;14676;0;0;0;0;NA;"51";"5"
"526";"MI";"51009";"Norte Araguaia (MT)";10763;9750;763;127;26;15;75;7;7990;7281;603;46;14;9;33;4;2602;2327;161;50;12;6;43;3;5497152;679831;2520631;10726;7989;2585;37705;23048;9496;26748;20820;5549;3435838;969346;2466492;281454;240326;41128;337955;256123;81832;9220;8107;751;7671;466;714;296;4;6;40;385;4578;2296;2241;1;1;22;24;161;6742;6170;463;5928;404;531;202;3;4;34;297;3026;1988;939;1;1;18;21;151;2307;1766;153;1664;62;177;87;1;2;6;89;1536;308;1285;0;0;4;3;10;3328096;3162682;2213225;942869;6588;31632;23084;NA;NA;53;7977;133782;32327;100314;NA;NA;NA;57;849;308286;252676;25777;221245;5654;13347;7914;NA;NA;37;5074;42263;27795;13451;NA;NA;NA;NA;752;385380;323666;73157;249576;934;13908;10907;NA;NA;17;2790;47805;4500;43182;0;0;NA;NA;96;"51";"5"
"527";"MI";"51010";"Canarana (MT)";5543;5061;190;190;16;27;48;11;3543;3283;140;55;8;14;37;6;1693;1523;52;83;9;11;10;5;3799626;238326;1402130;5498;3542;1675;27402;12624;7034;16756;11622;4500;4906212;796740;4109472;190496;117102;73394;490624;224638;265985;5120;4239;1058;3557;209;382;119;5;6;29;235;2735;1519;1148;2;1;1;3;255;3202;2720;436;2453;155;226;56;4;3;22;151;1697;1230;318;1;0;1;1;215;1613;1214;342;988;50;120;38;1;3;7;73;1007;272;810;0;1;0;2;40;4877355;4674024;3815031;781952;77041;53543;18253;NA;NA;47;34405;149788;30866;117278;NA;NA;NA;NA;1571;216422;179361;68276;108636;2448;6160;2408;NA;NA;43;3229;30901;22948;6805;NA;0;NA;NA;1117;527181;474256;252226;219166;2864;14351;5359;NA;NA;4;8633;38574;6762;31334;0;NA;0;NA;454;"51";"5"
"528";"MI";"51011";"Médio Araguaia (MT)";1579;1355;83;73;24;35;6;3;730;601;76;29;6;16;1;1;796;708;7;37;18;19;5;2;2416985;42973;1545978;1562;730;787;6821;2289;3471;3503;1925;1500;631969;480086;151884;17087;15232;1855;152406;140499;11907;1313;1070;133;1001;69;99;27;3;0;9;63;689;345;370;0;0;0;0;8;595;486;79;449;49;34;8;1;0;7;19;335;272;65;0;0;0;0;6;666;532;34;505;20;61;17;2;0;2;42;343;71;296;0;0;0;0;2;641529;600827;124925;475513;389;9932;4171;39;0;65;5657;30769;6564;24174;0;0;0;0;32;21449;14434;872;13297;266;656;259;NA;0;NA;323;6358;NA;1165;0;0;0;0;NA;173630;149332;10899;138292;141;7732;3226;NA;0;NA;4475;16566;NA;15177;0;0;0;0;NA;"51";"5"
"529";"MI";"51012";"Alto Guaporé (MT)";4181;3619;476;45;19;5;14;3;3063;2615;392;31;11;3;9;2;1035;920;87;12;8;2;5;1;2192343;211446;1016183;4162;3063;1026;13950;7812;3672;9288;7091;2080;1429186;1115654;313533;210719;197824;12895;234652;225450;9203;4024;3667;408;3482;72;235;143;2;1;15;80;2271;1256;1071;0;2;2;0;105;2944;2773;310;2627;60;183;116;0;0;13;60;1611;1122;500;0;2;2;0;81;997;813;64;784;14;50;27;2;1;2;18;650;135;564;0;0;0;0;24;1522366;1367565;257560;1109082;922;22561;4705;NA;NA;29;17666;132241;24140;107555;0;NA;NA;0;542;236989;201503;6711;193930;862;4663;NA;0;0;NA;NA;30823;21444;9001;0;NA;NA;0;374;261829;228914;5603;223243;68;5562;NA;NA;NA;NA;NA;27353;2672;24512;0;0;0;0;169;"51";"5"
"530";"MI";"51013";"Tangará da Serra (MT)";3405;2872;414;87;4;8;20;0;2455;1991;379;62;4;4;15;0;894;819;35;30;1;4;5;0;1076885;102075;526678;3377;2455;880;14192;6046;4566;7379;5262;2004;1588213;588375;999839;131608;61698;69910;173631;111386;62244;2915;2512;809;2028;132;347;154;0;0;1;208;1476;929;587;0;0;1;0;51;2027;1811;600;1458;112;235;99;0;0;0;147;917;742;162;0;0;1;0;50;833;646;179;526;19;100;52;0;0;0;53;540;169;420;0;0;0;0;1;1629997;1546784;923422;576042;47320;40428;NA;0;0;NA;23619;42785;18590;23977;0;0;NA;0;NA;143284;116802;64073;50889;1840;11027;1638;0;0;0;9389;15455;NA;2245;0;0;NA;0;NA;212733;173354;60930;110024;2399;20813;13010;0;0;0;7803;18566;NA;13894;0;0;0;0;NA;"51";"5"
"531";"MI";"51014";"Jauru (MT)";8661;7045;1234;202;55;65;46;14;6655;5342;1049;132;39;53;30;10;1998;1687;187;75;17;12;16;4;1711694;336182;1004100;8638;6653;1985;24047;15701;6483;17661;14119;3608;1272215;923971;348244;317633;287786;29847;338783;316962;21821;8049;7332;882;7013;193;308;137;8;1;12;158;4745;2954;1918;1;1;1;3;46;6183;5815;757;5561;165;248;107;6;1;12;130;3400;2686;756;1;1;1;3;39;1858;1509;121;1449;29;63;32;2;0;0;30;1364;272;1177;0;0;0;0;7;1372533;1238680;321548;914694;2438;9836;6423;NA;NA;12;3163;124017;58973;64899;NA;NA;NA;NA;98;377481;302970;19831;281021;2118;5874;3900;NA;NA;12;NA;68637;51955;16547;NA;NA;NA;NA;87;385860;333099;18093;314699;307;2732;1999;NA;0;0;NA;50029;6387;43631;0;0;0;0;11;"51";"5"
"532";"MI";"51015";"Alto Paraguai (MT)";1957;1543;370;31;5;4;3;1;1316;1034;258;13;4;3;3;1;631;499;112;18;1;1;0;0;512263;67928;273140;1953;1316;630;5330;2886;2029;3824;2596;1195;472337;311667;160670;43848;35784;8064;108882;87106;21777;1758;1478;336;1325;93;215;92;0;3;4;122;1119;577;570;1;0;2;0;52;1142;1001;248;896;75;138;54;0;3;2;84;694;494;187;1;0;1;0;45;605;465;74;428;18;76;38;0;0;2;37;429;84;385;0;0;1;0;8;480816;450556;142700;305463;2394;2971;2060;0;NA;NA;882;27289;10754;16389;NA;0;NA;0;127;50326;37618;3557;31745;2316;1334;796;0;NA;NA;NA;11374;8688;2576;NA;0;NA;0;NA;119639;102122;17852;84192;78;1743;1373;0;0;NA;NA;15774;2002;13730;0;0;NA;0;NA;"51";"5"
"533";"MI";"51016";"Rosário Oeste (MT)";2742;2329;330;27;10;15;19;12;1799;1526;218;12;7;11;15;10;926;788;112;13;3;4;4;2;629474;64177;442168;2732;1799;921;7904;4451;3035;6198;4158;2015;223064;103485;119579;30435;17224;13211;77344;60611;16732;2599;2048;677;1629;369;170;121;3;2;2;45;2031;1126;876;0;2;1;5;120;1703;1388;525;1085;297;118;82;2;0;2;34;1280;1027;181;0;2;1;5;92;880;645;141;535;72;51;39;1;1;0;11;749;99;693;0;0;0;0;28;255165;183118;81197;99222;2699;14862;1946;28;NA;NA;323;57185;22892;33926;0;NA;NA;NA;361;48773;24570;7980;14523;2066;1237;977;NA;0;NA;232;22966;19702;2992;0;NA;NA;NA;266;105640;72671;12989;59049;633;1064;909;NA;NA;0;NA;31905;3190;28620;0;0;0;0;95;"51";"5"
